# date	front	securityID	traded_qty   (from volstats: summed lastQty, outrights only)
20250817	NQU5	42008487	6931
20250818	NQU5	42008487	397376
20250819	NQU5	42008487	556566
20250820	NQU5	42008487	707262
20250821	NQU5	42008487	521614
20250822	NQU5	42008487	477971
20250824	NQU5	42008487	10139
20250825	NQU5	42008487	394216
20250826	NQU5	42008487	439211
20250827	NQU5	42008487	435948
20250828	NQU5	42008487	478435
20250829	NQU5	42008487	526069
20250831	NQU5	42008487	8044
20250901	NQU5	42008487	87651
20250902	NQU5	42008487	656209
20250903	NQU5	42008487	556443
20250904	NQU5	42008487	479401
20250905	NQU5	42008487	659298
20250907	NQU5	42008487	14958
20250908	NQU5	42008487	445087
20250909	NQU5	42008487	471668
20250910	NQU5	42008487	512069
20250911	NQU5	42008487	432198
20250912	NQU5	42008487	378398
20250914	NQU5	42008487	4957
20250915	NQZ5	158704	219546
20250916	NQZ5	158704	322563
20250917	NQZ5	158704	559336
20250918	NQZ5	158704	519719
20250919	NQZ5	158704	476527
20250921	NQZ5	158704	8268
20250922	NQZ5	158704	470700
20250923	NQZ5	158704	553052
20250924	NQZ5	158704	524304
20250925	NQZ5	158704	695894
20250926	NQZ5	158704	539506
20250928	NQZ5	158704	9044
20250929	NQZ5	158704	501489
20250930	NQZ5	158704	511449
20251001	NQZ5	158704	465187
20251002	NQZ5	158704	456288
20251003	NQZ5	158704	480009
20251005	NQZ5	158704	9605
20251006	NQZ5	158704	411928
20251007	NQZ5	158704	536307
20251008	NQZ5	158704	440102
20251009	NQZ5	158704	496273
20251010	NQZ5	158704	914494
20251012	NQZ5	158704	37493
20251013	NQZ5	158704	623011
20251014	NQZ5	158704	728600
20251015	NQZ5	158704	627477
20251016	NQZ5	158704	738792
20251017	NQZ5	158704	723123
20251019	NQZ5	158704	11596
20251020	NQZ5	158704	428169
20251021	NQZ5	158704	435136
20251022	NQZ5	158704	691002
20251023	NQZ5	158704	520942
20251024	NQZ5	158704	457450
20251026	NQZ5	158704	15745
20251027	NQZ5	158704	416625
20251028	NQZ5	158704	443918
20251029	NQZ5	158704	561744
20251030	NQZ5	158704	657247
20251031	NQZ5	158704	583134
20251102	NQZ5	158704	7512
20251103	NQZ5	158704	467246
20251104	NQZ5	158704	668362
20251105	NQZ5	158704	613724
20251106	NQZ5	158704	750946
20251107	NQZ5	158704	752884
20251109	NQZ5	158704	10434
20251110	NQZ5	158704	608676
20251111	NQZ5	158704	527927
20251112	NQZ5	158704	612715
20251113	NQZ5	158704	764219
20251114	NQZ5	158704	846434
20251116	NQZ5	158704	12063
20251117	NQZ5	158704	731080
20251118	NQZ5	158704	868222
20251119	NQZ5	158704	775050
20251120	NQZ5	158704	984917
20251121	NQZ5	158704	894331
20251123	NQZ5	158704	9471
20251124	NQZ5	158704	594279
20251125	NQZ5	158704	621721
20251126	NQZ5	158704	515119
20251127	NQZ5	158704	47689
20251128	NQZ5	158704	146802
20251130	NQZ5	158704	11472
20251201	NQZ5	158704	566167
20251202	NQZ5	158704	556846
20251203	NQZ5	158704	489461
20251204	NQZ5	158704	508726
20251205	NQZ5	158704	488003
20251207	NQZ5	158704	5057
20251208	NQZ5	158704	471642
20251209	NQZ5	158704	401061
20251210	NQZ5	158704	543757
20251211	NQZ5	158704	620418
20251212	NQZ5	158704	685435
20251214	NQZ5	158704	6853
20251215	NQH6	42002475	306934
20251216	NQH6	42002475	549326
20251217	NQH6	42002475	632967
20251218	NQH6	42002475	666698
20251219	NQH6	42002475	483532
20251221	NQH6	42002475	8137
20251222	NQH6	42002475	358177
20251223	NQH6	42002475	332295
20251224	NQH6	42002475	158300
20251225	NQH6	42002475	2680
20251226	NQH6	42002475	234426
20251228	NQH6	42002475	4149
20251229	NQH6	42002475	343898
20251230	NQH6	42002475	298315
20251231	NQH6	42002475	317416
